species_id,common_name,genus,genus_id,genus_common_name,species,kingdom,itis_taxonomic_sn,functional_type,class_id,class_common_name,class_name,order_id,order_common_name,order_name,family_id,family_name,family_common_name,species_type
214,Lewis' mock orange,Philadelphus,883,Mock Oranges (Philadelphus),lewisii,Plantae,24430,Deciduous broadleaf,15,Flowering Plants,Magnoliopsida,75,"Dogwood, Hydrangea and Tupelo Families",Cornales,280,Hydrangeaceae,Hydrangea Family,"[{'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}]"
1975,lignum-vitae,Guaiacum,682,Lignum-vitaes (Guaiacum),officinale,Plantae,897104,Evergreen broadleaf,15,Flowering Plants,Magnoliopsida,101,Creosote-bush Family,Zygophyllales,347,Zygophyllaceae,Creosote-bush Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}]"
1243,lilac borer,Podosesia,912,Ash/Lilac Borer Moths (Podosesia),syringae,Animalia,,Insect,8,Insects,Insecta,43,Butterflies and Moths,Lepidoptera,363,Sesiidae,Clearwing Moths,"[{'Species_Type_ID': 17, 'Species_Type': 'Insect - Butterfly/Moth', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': None}, {'Species_Type_ID': 25, 'Species_Type': 'Insect - All', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss9six-spotted_tiger_beetle_insect_final.png'}, {'Species_Type_ID': 30, 'Species_Type': 'Insect - Plant Pest', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': None}, {'Species_Type_ID': 38, 'Species_Type': 'Pest Patrol Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': None}]"
1169,lilac chastetree,Vitex,1096,Chastetrees (Vitex),agnus-castus,Plantae,32221,Deciduous broadleaf,15,Flowering Plants,Magnoliopsida,83,"Mint, Olive and Plantain Families",Lamiales,286,Lamiaceae,Mint Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}, {'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
2123,lily-of-the-valley,Convallaria,1290,Lily-of-the-vallies (Convallaria),majalis,Plantae,42909,Forb,15,Flowering Plants,Magnoliopsida,68,"Asparagas, Iris, Orchid and Aloe Families",Asparagales,241,Asparagaceae,Asparagas Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}, {'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
220,limber pine,Pinus,897,Pines (Pinus),flexilis,Plantae,183343,Pine,16,Conifers,Pinopsida,102,Conifers,Pinales,349,Pinaceae,Pine Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 11, 'Species_Type': 'Coniferous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 40, 'Species_Type': 'Pollen Trackers Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
329,lingonberry,Vaccinium,1085,Blueberries (Vaccinium),vitis-idaea,Plantae,505637,Evergreen broadleaf,15,Flowering Plants,Magnoliopsida,77,"Heath, Phlox and Pitcher-plant Families",Ericales,268,Ericaceae,Heath Family,"[{'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}]"
1641,little bluestem,Schizachyrium,980,Little Bluestems (Schizachyrium),scoparium,Plantae,42076,Graminoid,15,Flowering Plants,Magnoliopsida,93,"Grass, Sedge, Rush and Cattail Families",Poales,317,Poaceae,Grass Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}, {'Species_Type_ID': 12, 'Species_Type': 'Grass/Sedge/Rush', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss3buffalograss_grasses_final.png'}]"
1940,little ironweed,Cyanthillium,1195,Ironweeds (Cyanthillium),cinereum,Plantae,565115,Forb,15,Flowering Plants,Magnoliopsida,69,"Aster, Bellflower and Buckbean Families",Asterales,242,Asteraceae,Aster Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}, {'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
1778,little sweet Betsy,Trillium,1066,Trilliums (Trillium),cuneatum,Plantae,43056,Forb,15,Flowering Plants,Magnoliopsida,85,"Colchicum, Lily and Bunchflower Families",Liliales,295,Melanthiaceae,Bunchflower Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
1775,littleleaf linden,Tilia,1056,Lindens (Tilia),cordata,Plantae,505507,Deciduous broadleaf,15,Flowering Plants,Magnoliopsida,88,Mallow and Mezereum Families,Malvales,294,Malvaceae,Mallow Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}, {'Species_Type_ID': 5, 'Species_Type': 'Allergen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
2004,littleleaf sensitive-briar,Mimosa,801,Mimosas (Mimosa),microphylla,Plantae,507831,Forb,15,Flowering Plants,Magnoliopsida,78,Pea and Milkwort Families,Fabales,270,Fabaceae,Pea Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}, {'Species_Type_ID': 8, 'Species_Type': 'Vine', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
305,live oak,Quercus,946,Oaks (Quercus),virginiana,Plantae,19283,Semi-evergreen broadleaf,15,Flowering Plants,Magnoliopsida,79,"Birch, Beech, Walnut and Bayberry Families",Fagales,271,Fagaceae,Beech Family,"[{'Species_Type_ID': 5, 'Species_Type': 'Allergen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 26, 'Species_Type': 'Focal', 'Comment': None, 'User_Display': 1, 'Kingdom': None, 'Image_Path': None}, {'Species_Type_ID': 31, 'Species_Type': 'Green Wave Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 40, 'Species_Type': 'Pollen Trackers Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 43, 'Species_Type': 'Quercus Quest Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
2017,lobeleaf groundsel,Packera,1235,Ragworts (Packera),multilobata,Plantae,518150,Forb,15,Flowering Plants,Magnoliopsida,69,"Aster, Bellflower and Buckbean Families",Asterales,242,Asteraceae,Aster Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
54,loblolly pine,Pinus,897,Pines (Pinus),taeda,Plantae,18037,Pine,16,Conifers,Pinopsida,102,Conifers,Pinales,349,Pinaceae,Pine Family,"[{'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 11, 'Species_Type': 'Coniferous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 40, 'Species_Type': 'Pollen Trackers Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
762,lodgepole pine,Pinus,897,Pines (Pinus),contorta,Plantae,183327,Pine,16,Conifers,Pinopsida,102,Conifers,Pinales,349,Pinaceae,Pine Family,"[{'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 11, 'Species_Type': 'Coniferous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 40, 'Species_Type': 'Pollen Trackers Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
388,logperch,Percina,870,Roughbelly Darters (Percina),caprodes,Animalia,168472,Fish,11,Advanced Ray-finned Fishes,Teleostei,59,Perch-like Fishes,Perciformes,217,Percidae,Perches,"[{'Species_Type_ID': 16, 'Species_Type': 'Fish', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss10sockeye_salmon_fish_final.png'}, {'Species_Type_ID': 26, 'Species_Type': 'Focal', 'Comment': None, 'User_Display': 1, 'Kingdom': None, 'Image_Path': None}]"
2271,London planetree,Platanus,906,Sycamores (Platanus),acerifolia,Plantae,519166,Deciduous broadleaf,15,Flowering Plants,Magnoliopsida,94,Plane-tree Family,Proteales,315,Platanaceae,Plane-tree Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}, {'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 5, 'Species_Type': 'Allergen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
1611,longbeak stork's bill,Erodium,629,Stork's Bills (Erodium),botrys,Plantae,29146,Forb,15,Flowering Plants,Magnoliopsida,82,Geranium Family,Geraniales,276,Geraniaceae,Geranium Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
385,longear sunfish,Lepomis,742,Sunfishes (Lepomis),megalotis,Animalia,168153,Fish,11,Advanced Ray-finned Fishes,Teleostei,59,Perch-like Fishes,Perciformes,215,Centrarchidae,Sunfishes,"[{'Species_Type_ID': 16, 'Species_Type': 'Fish', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss10sockeye_salmon_fish_final.png'}, {'Species_Type_ID': 26, 'Species_Type': 'Focal', 'Comment': None, 'User_Display': 1, 'Kingdom': None, 'Image_Path': None}]"
1961,longleaf jointfir,Ephedra,616,Jointfirs (Ephedra),trifurca,Plantae,183498,Evergreen broadleaf,14,Mormon Teas,Gnetopsida,63,Mormon Teas,Ephedrales,226,Ephedraceae,Mormon-tea Family,"[{'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}]"
1597,longleaf milkweed,Asclepias,440,Milkweeds (Asclepias),longifolia,Plantae,30282,Forb,15,Flowering Plants,Magnoliopsida,81,"Dogbane, Gentian and Madder Families",Gentianales,235,Apocynaceae,Dogbane Family,"[{'Species_Type_ID': 2, 'Species_Type': 'Deciduous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss12white_oak_deciduous_final.png'}, {'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
52,longleaf pine,Pinus,897,Pines (Pinus),palustris,Plantae,18038,Pine,16,Conifers,Pinopsida,102,Conifers,Pinales,349,Pinaceae,Pine Family,"[{'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 11, 'Species_Type': 'Coniferous', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 26, 'Species_Type': 'Focal', 'Comment': None, 'User_Display': 1, 'Kingdom': None, 'Image_Path': None}, {'Species_Type_ID': 40, 'Species_Type': 'Pollen Trackers Campaign', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}]"
